Month_Year,Hospital_Name,Hospital_ID,Hospital_Department,ReferralType,TotalReferrals
Jan-16,AMNCH,1049,Paediatric Cardiology,General Referral,1
Jan-16,AMNCH,1049,Paediatric Dermatology,General Referral,2
Jan-16,AMNCH,1049,Paediatric ENT,General Referral,3
Jan-16,AMNCH,1049,Paediatric General Surgery,General Referral,10
Jan-16,AMNCH,1049,Paediatric Medicine,General Referral,2
Jan-16,AMNCH,1049,Paediatric Respiratory,General Referral,4
Jan-16,Bantry General Hospital,704,Gastroenterology,General Referral,28
Jan-16,Bantry General Hospital,704,General Medicine,General Referral,36
Jan-16,Bantry General Hospital,704,General Surgery,General Referral,40
Jan-16,Bantry General Hospital,704,Medicine for the Elderly,General Referral,1
Jan-16,Bantry General Hospital,704,Outreach Dermatology,General Referral,5
Jan-16,Bantry General Hospital,704,Outreach Orthopaedics,General Referral,12
Jan-16,Bantry General Hospital,704,Outreach Surgical,General Referral,7
Jan-16,Connolly Hospital,108,Cardiology,General Referral,8
Jan-16,Connolly Hospital,108,Dermatology,General Referral,12
Jan-16,Connolly Hospital,108,Endocrinology,General Referral,7
Jan-16,Connolly Hospital,108,Gastroenterology,General Referral,17
Jan-16,Connolly Hospital,108,General Surgery,General Referral,22
Jan-16,Connolly Hospital,108,Gynaecology,General Referral,1
Jan-16,Connolly Hospital,108,Haematology,General Referral,3
Jan-16,Connolly Hospital,108,Orthopaedic,General Referral,19
Jan-16,Connolly Hospital,108,Plastic Surgery,General Referral,3
Jan-16,Connolly Hospital,108,Respiratory,General Referral,2
Jan-16,Connolly Hospital,108,Rheumatology,General Referral,6
Jan-16,Connolly Hospital,108,Urology,General Referral,7
Jan-16,Coombe Women & Infants University Hospital,930,Gynaecology,General Referral,5
Jan-16,Cork University Hospital,724,Cardiology,General Referral,58
Jan-16,Cork University Hospital,724,Cardiothoracics,General Referral,2
Jan-16,Cork University Hospital,724,Diabetes,General Referral,8
Jan-16,Cork University Hospital,724,Endocrinology,General Referral,24
Jan-16,Cork University Hospital,724,Gastroenterology,General Referral,35
Jan-16,Cork University Hospital,724,General Surgery,General Referral,58
Jan-16,Cork University Hospital,724,Gynaecology,General Referral,91
Jan-16,Cork University Hospital,724,Medicine for the Elderly,General Referral,17
Jan-16,Cork University Hospital,724,Nephrology,General Referral,14
Jan-16,Cork University Hospital,724,Neurology,General Referral,41
Jan-16,Cork University Hospital,724,Neurosurgery,General Referral,38
Jan-16,Cork University Hospital,724,Opthalmology,General Referral,105
Jan-16,Cork University Hospital,724,Paediatric Endocrinology,General Referral,2
Jan-16,Cork University Hospital,724,Paediatric Medicine,General Referral,65
Jan-16,Cork University Hospital,724,Paediatric Neurology,General Referral,12
Jan-16,Cork University Hospital,724,Paediatric Respiratory,General Referral,12
Jan-16,Cork University Hospital,724,Plastic Surgery,General Referral,39
Jan-16,Cork University Hospital,724,Respiratory,General Referral,31
Jan-16,Cork University Hospital,724,Rheumatology,General Referral,32
Jan-16,Cork University Hospital,724,Urology,General Referral,51
Jan-16,Cork University Hospital,724,Vascular,General Referral,15
Jan-16,Kerry General Hospital,726,Audiology,General Referral,4
Jan-16,Kerry General Hospital,726,Cardiology,General Referral,30
Jan-16,Kerry General Hospital,726,Dermatology,General Referral,46
Jan-16,Kerry General Hospital,726,Diabetes,General Referral,1
Jan-16,Kerry General Hospital,726,Ear Nose and Throat,General Referral,43
Jan-16,Kerry General Hospital,726,Endocrinology,General Referral,10
Jan-16,Kerry General Hospital,726,General Medicine,General Referral,36
Jan-16,Kerry General Hospital,726,General Surgery,General Referral,245
Jan-16,Kerry General Hospital,726,Gynaecology,General Referral,54
Jan-16,Kerry General Hospital,726,Medicine for the Elderly,General Referral,5
Jan-16,Kerry General Hospital,726,Neurology,General Referral,8
Jan-16,Kerry General Hospital,726,Orthopaedics,General Referral,71
Jan-16,Kerry General Hospital,726,Paediatrics,General Referral,37
Jan-16,Kerry General Hospital,726,Plastic Surgery,General Referral,8
Jan-16,Kerry General Hospital,726,Renal,General Referral,3
Jan-16,Kerry General Hospital,726,Rheumatology,General Referral,20
Jan-16,Letterkenny University Hospital,500,Antenatal,General Referral,15
Jan-16,Letterkenny University Hospital,500,Cardiology,General Referral,2
Jan-16,Letterkenny University Hospital,500,Colposcopy,General Referral,2
Jan-16,Letterkenny University Hospital,500,Day Services,General Referral,15
Jan-16,Letterkenny University Hospital,500,Dermatology,General Referral,11
Jan-16,Letterkenny University Hospital,500,Ear Nose and Throat,General Referral,22
Jan-16,Letterkenny University Hospital,500,Gynaecology,General Referral,23
Jan-16,Letterkenny University Hospital,500,Haematology,General Referral,3
Jan-16,Letterkenny University Hospital,500,Medical,General Referral,14
Jan-16,Letterkenny University Hospital,500,Nephrology,General Referral,1
Jan-16,Letterkenny University Hospital,500,Opthalmic,General Referral,6
Jan-16,Letterkenny University Hospital,500,Orthopaedics,General Referral,14
Jan-16,Letterkenny University Hospital,500,Paediatrics,General Referral,15
Jan-16,Letterkenny University Hospital,500,Surgical,General Referral,40
Jan-16,Letterkenny University Hospital,500,Urodynamics,General Referral,2
Jan-16,Mallow General Hospital,703,Ear Nose and Throat,General Referral,17
Jan-16,Mallow General Hospital,703,General Medicine,General Referral,66
Jan-16,Mallow General Hospital,703,General Surgery,General Referral,78
Jan-16,Mater Public Hospital,908,Colorectal Surgery,General Referral,3
Jan-16,Mater Public Hospital,908,Dermatology,General Referral,24
Jan-16,Mater Public Hospital,908,Diabetic/Endocrinology,General Referral,3
Jan-16,Mater Public Hospital,908,ENT Surgery,General Referral,17
