Month_Year,Hospital_Name,Hospital_ID,Hospital_Department,ReferralType,TotalReferrals
"Jan-2017","Cappagh National Orthopaedic Hospital","955","Orthopaedics","General Referral",19
"Jan-2017","Cavan Monaghan Hospital","402","Ante-Natal","General Referral",9
"Jan-2017","Cavan Monaghan Hospital","402","Dermatology","General Referral",27
"Jan-2017","Cavan Monaghan Hospital","402","ENT","General Referral",39
"Jan-2017","Cavan Monaghan Hospital","402","Gynaecology","General Referral",34
"Jan-2017","Cavan Monaghan Hospital","402","Haematology","General Referral",2
"Jan-2017","Cavan Monaghan Hospital","402","Neurology","General Referral",4
"Jan-2017","Cavan Monaghan Hospital","402","Orthopaedics","General Referral",33
"Jan-2017","Cavan Monaghan Hospital","402","Paediatrics","General Referral",32
"Jan-2017","Cavan Monaghan Hospital","402","Surgical","General Referral",125
"Jan-2017","Connolly Hospital","108","Endocrinology","General Referral",10
"Jan-2017","Connolly Hospital","108","Gastroenterology","General Referral",8
"Jan-2017","Connolly Hospital","108","General Surgery","General Referral",1
"Jan-2017","Connolly Hospital","108","Medicine for the Elderly","General Referral",1
"Jan-2017","Connolly Hospital","108","Nephrology","General Referral",1
"Jan-2017","Connolly Hospital","108","Orthopaedic","General Referral",1
"Jan-2017","Connolly Hospital","108","Respiratory","General Referral",1
"Jan-2017","Connolly Hospital","108","Rheumatology","General Referral",22
"Jan-2017","Mater Public Hospital","908","Cardiac/Thoracic Surgery","General Referral",4
"Jan-2017","Mater Public Hospital","908","Colorectal Surgery","General Referral",1
"Jan-2017","Mater Public Hospital","908","Diabetic/Endocrinology","General Referral",2
"Jan-2017","Mater Public Hospital","908","ENT Surgery","General Referral",3
"Jan-2017","Mater Public Hospital","908","Gen Med/Cardiology","General Referral",10
"Jan-2017","Mater Public Hospital","908","Gen/Vas Surgery","General Referral",4
"Jan-2017","Mater Public Hospital","908","General Surgery","General Referral",1
"Jan-2017","Mater Public Hospital","908","Geriatrics","General Referral",1
"Jan-2017","Mater Public Hospital","908","Gynaecology","General Referral",9
"Jan-2017","Mater Public Hospital","908","Haematology","General Referral",1
"Jan-2017","Mater Public Hospital","908","Hepatology","General Referral",1
"Jan-2017","Mater Public Hospital","908","Infectious Diseases","General Referral",3
"Jan-2017","Mater Public Hospital","908","Nephrology","General Referral",2
"Jan-2017","Mater Public Hospital","908","Neurology","General Referral",16
"Jan-2017","Mater Public Hospital","908","Ophthalmology","General Referral",4
"Jan-2017","Mater Public Hospital","908","Orthopaedic","General Referral",23
"Jan-2017","Mater Public Hospital","908","Plastic Surgery","General Referral",2
"Jan-2017","Mater Public Hospital","908","Psychiatry","General Referral",1
"Jan-2017","Mater Public Hospital","908","Respiratory Med","General Referral",1
"Jan-2017","Mater Public Hospital","908","Rheumatology","General Referral",3
"Jan-2017","Mater Public Hospital","908","Urology","General Referral",6
